ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Comment
Z44001,Encounter for fit/adjst of unsp right artificial arm,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44002,Encounter for fit/adjst of unsp left artificial arm,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44009,"Encounter for fit/adjst of unsp artificial arm, unsp arm",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44011,Encounter for fit/adjst of complete right artificial arm,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44012,Encounter for fit/adjst of complete left artificial arm,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44019,"Encounter for fit/adjst of complete artificial arm, unsp arm",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44021,Encounter for fit/adjst of partial artificial right arm,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44022,Encounter for fit/adjst of partial artificial left arm,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44029,"Encounter for fit/adjst of partial artificial arm, unsp arm",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44101,Encounter for fit/adjst of unsp right artificial leg,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44102,Encounter for fit/adjst of unsp left artificial leg,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44109,"Encounter for fit/adjst of unsp artificial leg, unsp leg",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44111,Encounter for fit/adjst of complete right artificial leg,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44112,Encounter for fit/adjst of complete left artificial leg,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44119,"Encounter for fit/adjst of complete artificial leg, unsp leg",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44121,Encounter for fit/adjst of partial artificial right leg,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44122,Encounter for fit/adjst of partial artificial left leg,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z44129,"Encounter for fit/adjst of partial artificial leg, unsp leg",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4420,"Encounter for fitting and adjustment of artificial eye, unsp",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4421,Encounter for fitting and adjustment of artificial right eye,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4422,Encounter for fitting and adjustment of artificial left eye,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4430,"Encntr for fit/adjst of external breast prosth, unsp breast",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4431,Encounter for fit/adjst of external right breast prosthesis,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4432,Encounter for fit/adjst of external left breast prosthesis,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z448,Encounter for fit/adjst of external prosthetic devices,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z449,Encounter for fit/adjst of unsp external prosthetic device,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z45010,Encounter for checking and testing of cardiac pacemaker pulse generator [battery],CIR016,Conduction disorders,Y,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z45018,Encounter for adjustment and management of other part of cardiac pacemaker,CIR016,Conduction disorders,Y,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z45010,Encounter for checking and testing of cardiac pacemaker pulse generator [battery],FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z45018,Encounter for adjustment and management of other part of cardiac pacemaker,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z4502,Encntr for adjust and mgmt of automatic implntbl card defib,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
