ICD-10-PCS CODE,CCS CATEGORY,ICD-10-PCS CODE DESCRIPTION,CCS CATEGORY DESCRIPTION,MULTI CCS LVL 1,MULTI CCS LVL 1 LABEL,MULTI CCS LVL 2,MULTI CCS LVL 2 LABEL
30230AZ,64,"Transfuse of Embr Stem Cell into Periph Vein, Open Approach",Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230G0,64,"Transfuse Autol Bone Marrow in Periph Vein, Open",Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230G1,64,Transfusion of Nonautologous Bone Marrow into Peripheral Vei,Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230G2,64,"Transfuse Allo Rel Bone Marrow in Periph Vein, Open",Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230G3,64,"Transfuse Allo Unr Bone Marrow in Periph Vein, Open",Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230G4,64,"Transfuse Allo Unsp Bone Marrow in Periph Vein, Open",Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230U2,64,"Transfuse Allo Rel T-cel Deplet HSC in Periph Vein, Open",Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230U3,64,"Transfuse Allo Unr T-cel Deplet HSC in Periph Vein, Open",Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230U4,64,"Transfuse Allo Unsp T-cel Deplet HSC in Periph Vein, Open",Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230X0,64,"Transfuse Autol Cord Bld Stem Cell in Periph Vein, Open",Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230X1,64,Transfusion of Nonautologous Cord Blood Stem Cells into Peri,Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230X2,64,"Transfuse Allo Rel Cord Bld Stem Cell in Periph Vein, Open",Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230X3,64,"Transfuse Allo Unr Cord Bld Stem Cell in Periph Vein, Open",Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230X4,64,"Transfuse Allo Unsp Cord Bld Stem Cell in Periph Vein, Open",Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230Y0,64,"Transfuse Autol Hemat Stem Cell in Periph Vein, Open",Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230Y1,64,Transfusion of Nonautologous Hematopoietic Stem Cells into P,Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
30230Y2,64,"Transfuse Allo Rel Hemat Stem Cell in Periph Vein, Open",Bone marrow transplant,8,Operations on the hemic and lymphatic system,8.1,Bone marrow transplant [64.]
