ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Key-term
R45851,Suicidal ideations,MBD012,Suicidal ideation/attempt/intentional self-harm,Y,0 Not Applicable,Intentional self-harm
T1491,Suicide attempt,MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T1491XA,"Suicide attempt, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T1491XD,"Suicide attempt, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T360X2A,"Poisoning by penicillins, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T360X2D,"Poisoning by penicillins, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T361X2A,"Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T361X2D,"Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T362X2A,"Poisoning by chloramphenicol group, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T362X2D,"Poisoning by chloramphenicol group, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T363X2A,"Poisoning by macrolides, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T363X2D,"Poisoning by macrolides, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T364X2A,"Poisoning by tetracyclines, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T364X2D,"Poisoning by tetracyclines, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T365X2A,"Poisoning by aminoglycosides, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T365X2D,"Poisoning by aminoglycosides, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T366X2A,"Poisoning by rifampicins, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T366X2D,"Poisoning by rifampicins, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T367X2A,"Poisoning by antifungal antibiotics, systemically used, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T367X2D,"Poisoning by antifungal antibiotics, systemically used, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
