ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Foreign body
T1500XA,"Foreign body in cornea, unspecified eye, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm,Foreign body
T1500XA,"Foreign body in cornea, unspecified eye, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,08 Suicidal ideation/attempt/intentional self-harm,Foreign body
T1501XA,"Foreign body in cornea, right eye, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm,Foreign body
T1501XA,"Foreign body in cornea, right eye, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,08 Suicidal ideation/attempt/intentional self-harm,Foreign body
T1502XA,"Foreign body in cornea, left eye, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1502XA,"Foreign body in cornea, left eye, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1510XA,"Foreign body in conjunctival sac, unspecified eye, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1510XA,"Foreign body in conjunctival sac, unspecified eye, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1511XA,"Foreign body in conjunctival sac, right eye, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1511XA,"Foreign body in conjunctival sac, right eye, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1512XA,"Foreign body in conjunctival sac, left eye, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1512XA,"Foreign body in conjunctival sac, left eye, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1580XA,"Foreign body in other and multiple parts of external eye, unspecified eye, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1580XA,"Foreign body in other and multiple parts of external eye, unspecified eye, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1581XA,"Foreign body in other and multiple parts of external eye, right eye, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
