ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Condition
S070XXA,"Crushing injury of face, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S070XXD,"Crushing injury of face, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S071XXA,"Crushing injury of skull, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S071XXD,"Crushing injury of skull, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S078XXA,"Crushing injury of other parts of head, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S078XXD,"Crushing injury of other parts of head, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S079XXA,"Crushing injury of head, part unspecified, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S079XXD,"Crushing injury of head, part unspecified, subs encntr",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S08111A,"Complete traumatic amputation of right ear, init encntr",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S08111D,"Complete traumatic amputation of right ear, subs encntr",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S08112A,"Complete traumatic amputation of left ear, initial encounter",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S08112D,"Complete traumatic amputation of left ear, subs encntr",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S08119A,"Complete traumatic amputation of unsp ear, init encntr",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S08119D,"Complete traumatic amputation of unsp ear, subs encntr",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S08121A,"Partial traumatic amputation of right ear, initial encounter",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S08121D,"Partial traumatic amputation of right ear, subs encntr",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S08122A,"Partial traumatic amputation of left ear, initial encounter",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S08122D,"Partial traumatic amputation of left ear, subs encntr",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S08129A,"Partial traumatic amputation of unspecified ear, init encntr",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S08129D,"Partial traumatic amputation of unspecified ear, subs encntr",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
