ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale
S090XXA,"Injury of blood vessels of head, NEC, init",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15001A,"Unspecified injury of right carotid artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15002A,"Unspecified injury of left carotid artery, initial encounter",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15009A,"Unsp injury of unspecified carotid artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15011A,"Minor laceration of right carotid artery, initial encounter",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15012A,"Minor laceration of left carotid artery, initial encounter",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15019A,"Minor laceration of unspecified carotid artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15021A,"Major laceration of right carotid artery, initial encounter",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15022A,"Major laceration of left carotid artery, initial encounter",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15029A,"Major laceration of unspecified carotid artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15091A,"Other specified injury of right carotid artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15092A,"Other specified injury of left carotid artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15099A,"Oth injury of unspecified carotid artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15101A,"Unspecified injury of right vertebral artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15102A,"Unspecified injury of left vertebral artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15109A,"Unsp injury of unspecified vertebral artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15111A,"Minor laceration of right vertebral artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15112A,"Minor laceration of left vertebral artery, initial encounter",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15119A,"Minor laceration of unsp vertebral artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15121A,"Major laceration of right vertebral artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15122A,"Major laceration of left vertebral artery, initial encounter",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15129A,"Major laceration of unsp vertebral artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15191A,"Oth injury of right vertebral artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15192A,"Other specified injury of left vertebral artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15199A,"Oth injury of unspecified vertebral artery, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15201A,"Unsp injury of right external jugular vein, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15202A,"Unsp injury of left external jugular vein, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
S15209A,"Unsp injury of unsp external jugular vein, init encntr",INJ016,"Injury to blood vessels, initial encounter",Y,0 Not Applicable
