ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale
S140XXA,"Concussion and edema of cervical spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14101A,"Unsp injury at C1 level of cervical spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14102A,"Unsp injury at C2 level of cervical spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14103A,"Unsp injury at C3 level of cervical spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14104A,"Unsp injury at C4 level of cervical spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14105A,"Unsp injury at C5 level of cervical spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14106A,"Unsp injury at C6 level of cervical spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14107A,"Unsp injury at C7 level of cervical spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14108A,"Unsp injury at C8 level of cervical spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14109A,"Unsp injury at unsp level of cervical spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14111A,"Complete lesion at C1 level of cervical spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14112A,"Complete lesion at C2 level of cervical spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14113A,"Complete lesion at C3 level of cervical spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14114A,"Complete lesion at C4 level of cervical spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14115A,"Complete lesion at C5 level of cervical spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14116A,"Complete lesion at C6 level of cervical spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14117A,"Complete lesion at C7 level of cervical spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14118A,"Complete lesion at C8 level of cervical spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14119A,"Complete lesion at unsp level of cervical spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14121A,"Central cord syndrome at C1, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14122A,"Central cord syndrome at C2, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
