ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale
M978XXA,"Periprosth fracture around other internal prosth joint, init",INJ026,Other specified injury,Y,0 Not Applicable
M979XXA,"Periprosth fracture around unsp internal prosth joint, init",INJ026,Other specified injury,Y,0 Not Applicable
S058X1A,"Other injuries of right eye and orbit, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S058X2A,"Other injuries of left eye and orbit, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S058X9A,"Other injuries of unspecified eye and orbit, init encntr",INJ026,Other specified injury,Y,0 Not Applicable
S09311A,"Primary blast injury of right ear, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S09312A,"Primary blast injury of left ear, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S09313A,"Primary blast injury of ear, bilateral, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S09319A,"Primary blast injury of unspecified ear, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S09391A,"Oth injury of right middle and inner ear, init encntr",INJ026,Other specified injury,Y,0 Not Applicable
S09392A,"Oth injury of left middle and inner ear, init encntr",INJ026,Other specified injury,Y,0 Not Applicable
S09399A,"Oth injury of unspecified middle and inner ear, init encntr",INJ026,Other specified injury,Y,0 Not Applicable
S098XXA,"Other specified injuries of head, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S1980XA,"Oth injuries of unspecified part of neck, init encntr",INJ026,Other specified injury,Y,0 Not Applicable
S1981XA,"Other specified injuries of larynx, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S1982XA,"Other specified injuries of cervical trachea, init encntr",INJ026,Other specified injury,Y,0 Not Applicable
S1983XA,"Other specified injuries of vocal cord, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S1984XA,"Other specified injuries of thyroid gland, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S1985XA,"Oth injuries of pharynx and cervical esophagus, init encntr",INJ026,Other specified injury,Y,0 Not Applicable
S1989XA,"Oth injuries of other specified part of neck, init encntr",INJ026,Other specified injury,Y,0 Not Applicable
S298XXA,"Other specified injuries of thorax, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S3981XA,"Other specified injuries of abdomen, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S3982XA,"Other specified injuries of lower back, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S3983XA,"Other specified injuries of pelvis, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S39840A,"Fracture of corpus cavernosum penis, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S39848A,"Other specified injuries of external genitals, init encntr",INJ026,Other specified injury,Y,0 Not Applicable
S4980XA,"Oth injuries of shoulder and upper arm, unsp arm, init",INJ026,Other specified injury,Y,0 Not Applicable
S4981XA,"Oth injuries of right shoulder and upper arm, init encntr",INJ026,Other specified injury,Y,0 Not Applicable
S4982XA,"Oth injuries of left shoulder and upper arm, init encntr",INJ026,Other specified injury,Y,0 Not Applicable
S59801A,"Other specified injuries of right elbow, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S59802A,"Other specified injuries of left elbow, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S59809A,"Other specified injuries of unspecified elbow, init encntr",INJ026,Other specified injury,Y,0 Not Applicable
S59811A,"Other specified injuries right forearm, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S59812A,"Other specified injuries left forearm, initial encounter",INJ026,Other specified injury,Y,0 Not Applicable
S59819A,"Other specified injuries unspecified forearm, init encntr",INJ026,Other specified injury,Y,0 Not Applicable
S6980XA,"Oth injuries of unsp wrist, hand and finger(s), init encntr",INJ026,Other specified injury,Y,0 Not Applicable
S6981XA,"Oth injuries of right wrist, hand and finger(s), init encntr",INJ026,Other specified injury,Y,0 Not Applicable
