ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale
S020XXA,"Fracture of vault of skull, init encntr for closed fracture",INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
S020XXB,"Fracture of vault of skull, init encntr for open fracture",INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
S02101A,"Fracture of base of skull, right side, init",INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
S02101B,"Fracture of base of skull, right side, 7thB",INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
S02102A,"Fracture of base of skull, left side, init",INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
S02102B,"Fracture of base of skull, left side, 7thB",INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
S02109A,"Fracture of base of skull, unspecified side, init",INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
S02109B,"Fracture of base of skull, unspecified side, 7thB",INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
S0210XA,Unspecified fracture of base of skull initial encounter for,INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
S0210XB,Unspecified fracture of base of skull initial encounter for,INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
S02110A,"Type I occipital condyle fracture, unspecified side, init",INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
S02110B,"Type I occipital condyle fracture, unspecified side, 7thB",INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
S02111A,"Type II occipital condyle fracture, unspecified side, init",INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
S02111B,"Type II occipital condyle fracture, unspecified side, 7thB",INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
S02112A,"Type III occipital condyle fracture, unspecified side, init",INJ001,"Fracture of head and neck, initial encounter",Y,0 Not Applicable
