ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale
S0100XA,"Unspecified open wound of scalp, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S0101XA,"Laceration without foreign body of scalp, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S0102XA,"Laceration with foreign body of scalp, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S0103XA,"Puncture wound without foreign body of scalp, init encntr",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S0104XA,"Puncture wound with foreign body of scalp, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S0105XA,"Open bite of scalp, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01101A,"Unsp open wound of right eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01102A,"Unsp open wound of left eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01109A,"Unsp open wound of unsp eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01111A,"Laceration w/o fb of right eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01112A,"Laceration w/o fb of left eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01119A,"Laceration w/o fb of unsp eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01121A,"Laceration w fb of right eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01122A,"Laceration w fb of left eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01129A,"Laceration w fb of unsp eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01131A,"Pnctr w/o fb of right eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01132A,"Pnctr w/o fb of left eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01139A,"Pnctr w/o fb of unsp eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01141A,"Pnctr w fb of right eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01142A,"Pnctr w fb of left eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01149A,"Pnctr w fb of unsp eyelid and periocular area, init",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01151A,"Open bite of right eyelid and periocular area, init encntr",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01152A,"Open bite of left eyelid and periocular area, init encntr",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01159A,"Open bite of unsp eyelid and periocular area, init encntr",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S0120XA,"Unspecified open wound of nose, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S0121XA,"Laceration without foreign body of nose, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S0122XA,"Laceration with foreign body of nose, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S0123XA,"Puncture wound without foreign body of nose, init encntr",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S0124XA,"Puncture wound with foreign body of nose, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S0125XA,"Open bite of nose, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01301A,"Unspecified open wound of right ear, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01302A,"Unspecified open wound of left ear, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01309A,"Unspecified open wound of unspecified ear, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01311A,"Laceration without foreign body of right ear, init encntr",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01312A,"Laceration without foreign body of left ear, init encntr",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01319A,"Laceration without foreign body of unsp ear, init encntr",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01321A,"Laceration with foreign body of right ear, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
S01322A,"Laceration with foreign body of left ear, initial encounter",INJ011,"Open wounds of head and neck, initial encounter",Y,0 Not Applicable
