ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale
T360X1A,"Poisoning by penicillins, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T360X2A,"Poisoning by penicillins, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T360X3A,"Poisoning by penicillins, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T360X4A,"Poisoning by penicillins, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T361X1A,"Poisoning by cephalosporins and other beta-lactam antibiotics, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T361X2A,"Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T361X3A,"Poisoning by cephalosporins and other beta-lactam antibiotics, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T361X4A,"Poisoning by cephalosporins and other beta-lactam antibiotics, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T362X1A,"Poisoning by chloramphenicol group, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T362X2A,"Poisoning by chloramphenicol group, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T362X3A,"Poisoning by chloramphenicol group, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T362X4A,"Poisoning by chloramphenicol group, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T363X1A,"Poisoning by macrolides, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T363X2A,"Poisoning by macrolides, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T363X3A,"Poisoning by macrolides, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T363X4A,"Poisoning by macrolides, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
