ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Condition,Unnamed: 7
I2101,STEMI involving left main coronary artery,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I2102,STEMI involving left anterior descending coronary artery,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I2109,STEMI involving oth coronary artery of anterior wall,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I2111,STEMI involving right coronary artery,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I2119,STEMI involving oth coronary artery of inferior wall,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I2121,STEMI involving left circumflex coronary artery,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I2129,STEMI involving oth sites,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I213,ST elevation (STEMI) myocardial infarction of unsp site,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I214,Non-ST elevation (NSTEMI) myocardial infarction,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I219,"Acute myocardial infarction, unspecified",CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I21A1,Myocardial infarction type 2,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I21A9,Other myocardial infarction type,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I220,Subsequent STEMI of anterior wall,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I221,Subsequent STEMI of inferior wall,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I222,Subsequent non-ST elevation (NSTEMI) myocardial infarction,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I228,Subsequent STEMI of sites,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I229,Subsequent STEMI of unsp site,CIR009,Acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I230,Hemopericardium as current complication following AMI,CIR010,Complications of acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I231,Atrial septal defect as current complication following AMI,CIR010,Complications of acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I232,Ventricular septal defect as current comp following AMI,CIR010,Complications of acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I233,Rupture of card wall w/o hemoperic as current comp fol AMI,CIR010,Complications of acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I234,Rupture of chord tendne as current comp following AMI,CIR010,Complications of acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I235,Rupture of papillary muscle as current comp following AMI,CIR010,Complications of acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I236,Thombos of atrium/auric append/ventr as current comp fol AMI,CIR010,Complications of acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I237,Postinfarction angina,CIR010,Complications of acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
